Year,Mo,Dy,Earthquake Magnitude,Vol,Country,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Abe),Tsunami Magnitude (Iida),Tsunami Intensity,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed,Total Houses Damaged
2013,2,8,7,,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-10.928,166.018,0.09,1,,,,,,,,,
2013,4,19,7.2,,RUSSIA,S. KURIL ISLANDS,46.221,150.788,0.2,1,,,,,,,,,
2013,4,22,6,,MEXICO,MEXICO,18.081,-102.182,0.13,1,,,,,,,,,
2013,6,13,,,USA,NORTHWEST ATLANTIC OCEAN,,,1.8,38,,,,,,2,,,
2013,6,15,6.2,,GREECE,CRETE,34.4,25.02,0.01,1,,,,,,,,,
2013,7,21,6.5,,NEW ZEALAND,COOK STRAIT,-41.704,174.337,0.07,2,,,,,,5,50,,35
2013,8,16,6.5,,NEW ZEALAND,WELLINGTON,-41.734,174.152,0.08,2,,,,,,,,,
2013,9,24,7.7,,PAKISTAN,OFF COAST GWADAR,25.18,62.26,0.57,11,,,,825,,619,100,32638,14118
2013,10,12,6.6,,GREECE,CRETE,35.514,23.252,0.01,1,,,,,,1,,,
2013,10,25,7.1,,JAPAN,E. COAST HONSHU ISLAND,37.156,144.661,0.4,9,,,,,,1,,,
2013,11,17,7.7,,ANTARCTICA,SCOTIA SEA,-60.274,-46.401,0.15,2,,,,,,,,,
2014,3,16,6.7,,CHILE,NORTHERN CHILE,-19.981,-70.702,0.26,7,,,,,,,,,
2014,4,1,8.2,,CHILE,NORTHERN CHILE,-19.61,-70.769,4.63,201,,,,7,,,100,,2600
2014,4,3,7.7,,CHILE,NORTHERN CHILE,-20.571,-70.493,0.74,5,,,,,,,,,
2014,4,12,7.6,,SOLOMON ISLANDS,SOLOMON ISLANDS,-11.27,162.148,0.05,8,,,,,,,,,
2014,4,13,7.4,,SOLOMON ISLANDS,SOLOMON ISLANDS,-11.463,162.051,0.16,9,,,,,,,,,
2014,4,18,7.2,,MEXICO,S. MEXICO,17.397,-100.972,0.43,3,,,,,,,,,127
2014,4,19,7.5,,PAPUA NEW GUINEA,SOLOMON SEA,-6.755,155.024,0.11,1,,,,,,,,,
2014,5,24,6.9,,GREECE,NORTH AEGEAN SEA,40.289,25.389,0.16,1,,,,3,,310,4500,,
2014,6,23,6.9,,NEW ZEALAND,"S OF RAOUL ISLAND, KERMADEC ISLANDS",-29.977,-177.725,0.13,5,,,,,,,,,
2014,6,23,7.9,,USA,"ALEUTIAN ISLANDS, AK",51.849,178.735,0.17,20,,,,,,,,,
2014,6,23,,,SPAIN,MEDITERRANEAN AND BLACK SEAS,,,2.5,5,,,,,,15,,,
2014,6,27,,,UKRAINE,ODESSA,46.32,30.67,2,0,,,,,,,,,
2014,7,2,,,GREENLAND,"ILULISSAT ICEFJORD, GREENLAND",69.8,-50.217,10,1,,,,,,,,,
2014,7,11,6.5,,JAPAN,SANRIKU,37.005,142.453,0.2,6,,,,,,,,,
2014,7,21,,,ICELAND,ASKJA LAKE,65.02,-16.7,60,1,,,,,,,,,
2014,7,25,6,,USA,"PALMA BAY, AK",58.335,-136.971,0.08,1,,,,,,,,,
2014,10,9,7,,CHILE,EASTER ISLAND REGION,-32.108,-110.811,0.47,5,,,,,,,,,
2014,10,14,7.3,,EL SALVADOR,GULF OF FONSECA,12.526,-88.123,0.02,2,,,,1,,,,5,41
2014,11,15,7.1,,INDONESIA,N. MOLUCCAS ISLANDS,1.893,126.522,0.09,3,,,,,,,,,
2015,2,16,6.7,,JAPAN,HONSHU,39.856,142.881,0.27,3,,,,,,,,,
2015,2,19,6.4,,VANUATU,VANUATU ISLANDS,-16.431,168.148,8,6,,,,,,,,,
2015,3,29,7.5,,PAPUA NEW GUINEA,BISMARCK SEA,-4.729,152.562,0.5,2,,,,,,,,,
2015,5,2,5.7,7537,JAPAN,S. OF HONSHU ISLAND,31.529,140.213,0.6,16,,,,,,,,,
2015,5,5,7.5,,PAPUA NEW GUINEA,NEW BRITAIN,-5.462,151.875,1,1,,,,,,,,,
2015,5,10,,,NORWAY,NORTHERN NORWAY,69.8,20.92,,0,,,,,,,,,
2015,6,24,,,CHINA,"WUSHAN, CHONGQING",31.077,109.896,6.2,1,,,,2,,4,,,
2015,7,1,,,SCOTLAND,NORTH SEA,,,0.18,3,,,,,,1,,,
2015,7,10,6.7,,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.307,158.403,0.01,1,,,,,,,,,
2015,7,18,7,,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-10.401,165.141,0.09,5,,,,,,,,,
2015,7,27,6.9,,USA,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",52.376,-169.446,0.08,2,,,,,,,,,
2015,9,16,8.3,,CHILE,CENTRAL CHILE,-31.573,-71.674,13.6,1128,,8.4,,15,1,14,600,2305,10044
2015,10,18,,,USA,"ICY BAY, AK",60.08,-141.3,193,3,,,,,,,,,
2015,11,11,6.9,,CHILE,CENTRAL CHILE,-29.507,-72.007,0.55,2,,,,,,,,,
2015,11,13,6.7,,JAPAN,JAPAN,31.001,128.873,0.3,1,,,,,,,,,
2015,11,17,6.5,,GREECE,IONIAN SEA,38.67,20.6,0.15,1,,,,2,,8,,1,
2015,11,18,6.8,,SOLOMON ISLANDS,SOLOMON ISLANDS,-8.899,158.422,0.1,1,,,,,,,,,
2016,1,25,6.3,,MOROCCO,MOROCCO,35.649,-3.682,0.02,2,,,,1,,26,,,
2016,3,2,7.8,,INDONESIA,SW. SUMATRA,-4.952,94.33,0.21,13,,,,,,,,,
2016,4,16,7.8,,ECUADOR,OFF COAST,0.382,-79.922,0.6,7,,,,663,9,6274,3300,6998,29672
2016,4,28,7,,VANUATU,VANUATU ISLANDS,-16.043,167.379,0.02,2,,,,,,,,,
2016,8,12,7.2,,NEW CALEDONIA,LOYALTY ISLANDS,-22.477,173.117,0.19,1,,,,,,,,,
2016,8,19,7.4,,UK TERRITORY,SOUTHERN ATLANTIC OCEAN,-55.285,-31.877,0.1,1,,,,,,,,,
2016,8,20,6,,JAPAN,SANRIKU,40.394,143.68,0.01,0,,,,,,,,,
2016,9,1,7,,NEW ZEALAND,GISBORNE,-37.359,179.146,0.21,4,,,,,,,,,
2016,11,13,7.8,,NEW ZEALAND,OFF EAST COAST OF SOUTH ISLAND,-42.737,173.054,6.9,17,,,,2,,,3900,,
2016,11,21,6.9,,JAPAN,E. COAST HONSHU ISLAND,37.393,141.387,1.44,44,,,,,,,,,
2016,11,24,6.9,,NICARAGUA,NICARAGUA,11.91,-88.897,0.08,3,,,,,,,,,
2016,12,8,7.8,,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.681,161.327,0.43,11,,,,1,,,,191,126
2016,12,9,6.9,,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.749,161.132,0.05,5,,,,,,,,,
2016,12,17,7.9,,PAPUA NEW GUINEA,SOLOMON SEA,-4.505,153.522,0.08,5,,,,,,,,,
2016,12,25,7.6,,CHILE,SOUTHERN CHILE,-43.406,-73.941,0.44,4,,,,,,,,,
2017,1,3,6.9,,FIJI,FIJI ISLANDS,-19.373,176.052,0.01,1,,,,,,,,,
2017,1,22,7.9,,PAPUA NEW GUINEA,BOUGAINVILLE ISLAND,-6.246,155.172,0.04,1,,,,3,,,,,
2017,3,19,,,IRAN,PERSIAN GULF,27.835,51.94,3,27,,,,5,,22,10,85,
2017,4,24,6.9,,CHILE,CENTRAL CHILE,-33.038,-72.062,0.16,4,,,,,,,,,
2017,4,28,6.9,,PHILIPPINES,"SOCCSKSARGEN, PHILIPPINES",5.504,125.066,0.2,1,,,,,,7,,1,
2017,5,1,6.2,,USA,"SKAGWAY, AK",59.821,-136.711,0.06,1,,,,,,,,,
2017,5,29,,,NETHERLANDS,NORTH SEA,,,2,2,,,,,,,,,
2017,6,12,6.3,,GREECE,LESBOS,38.93,26.365,0.4,1,,,,1,,15,,10,250
2017,6,17,,,GREENLAND,"KARRAT FJORD, GREENLAND",71.813,-52.569,90,5,,,,4,,9,,11,
2017,7,17,7.7,,RUSSIA,BERING ISLAND,54.443,168.857,0.1,1,,,,,,,,,
2017,7,19,,,COLOMBIA,OFF THE COAST NEAR SANTA MARTA,11,-74.3,8,7,,,,,,,,1,
2017,7,20,6.6,,TURKEY,GULF OF GÖKOVA,36.929,27.414,1.9,40,,,,2,,500,,,
2017,9,8,8.2,,MEXICO,S. MEXICO,15.022,-93.899,2.7,68,,,,98,,251,4000,47468,94027
2017,10,31,6.7,,NEW CALEDONIA,LOYALTY ISLANDS,-21.697,169.149,0.15,4,,,,,,,,,
2017,11,1,6.6,,NEW CALEDONIA,LOYALTY ISLANDS,-21.648,168.859,0.1,4,,,,,,,,,
2017,11,5,,,VIETNAM,QUANG NAM,15.317,108.249,8.5,1,,,,1,,3,,3,3
2017,11,19,6.3,,NEW CALEDONIA,LOYALTY ISLANDS,-21.638,168.673,0.05,1,,,,,,,,,
2017,11,19,6.6,,NEW CALEDONIA,LOYALTY ISLANDS,-21.503,168.598,0.08,1,,,,,,,,,
2017,11,19,7,,NEW CALEDONIA,LOYALTY ISLANDS,-21.325,168.672,0.37,5,,,,,,,,,
2017,12,8,,,KERMADEC ISLANDS,KERMADEC ISLANDS,-30,-179,0.5,6,,,,,,,,,
2018,1,10,7.5,,HONDURAS,OFF COAST OF HONDURAS,17.483,-83.52,0.4,8,,,,,,,,,7
2018,1,14,7.1,,PERU,S. PERU,-15.768,-74.709,0.15,4,,,,,,,,,
2018,1,23,7.9,,USA,"KODIAK ISLAND, AK",56.004,-149.166,0.25,64,,,,,,,,,
2018,2,9,,7104,PAPUA NEW GUINEA,"KADOVAR ISLAND, PAPUA NEW GUINEA",-3.608,144.588,1,1,,,,,,,,,
2018,5,4,6.9,6864,USA,HAWAII,19.318,-155,0.4,7,,,,,,1,370,716,
2018,5,6,5.4,7541,JAPAN,S. OF HONSHU ISLAND,31.444,140.193,0.15,1,,,,,,,,,
2018,5,15,,,USA,NORTHEAST U.S.A.,,,0.22,10,,,,,,,,,
2018,7,16,,,SPAIN,BALEARIC ISLANDS,,,0.75,3,,,,1,,,,,
2018,7,28,6.4,,INDONESIA,BALI SEA,-8.24,116.508,2.5,2,,,,17,,355,,5448,
2018,8,5,6.9,,INDONESIA,BALI SEA,-8.258,116.438,2,6,,,,560,,7733,509,,83392
2018,8,19,8.2,,FIJI,FIJI ISLANDS,-18.113,-178.153,,0,,,,,,,,,
2018,8,19,6.3,,INDONESIA,BALI SEA,-8.337,116.599,,0,,,,2,,1,,,1705
2018,8,21,7.3,,VENEZUELA,SUCRE,10.773,-62.902,,1,,,,5,,,,,
2018,8,29,7.1,,NEW CALEDONIA,LOYALTY ISLANDS,-22.03,170.126,0.27,7,,,,,,,,,
2018,9,28,7.5,,INDONESIA,SULAWESI,-0.256,119.846,10.73,291,,,,4340,667,10679,1500,3673,39191
2018,10,16,6.5,,NEW CALEDONIA,LOYALTY ISLANDS,-21.743,169.522,0.05,1,,,,,,,,,
2018,10,25,6.8,,GREECE,IONIAN SEA,37.52,20.557,0.5,9,,,,,,3,,,120
2018,12,5,7.5,,NEW CALEDONIA,LOYALTY ISLANDS,-21.95,169.427,2,34,,,,,,,,,
2018,12,11,,,RUSSIA,"BUREYA, FAR EASTERN RUSSIA",50.559,131.472,90,49,,,,,,,,,
2018,12,22,,7264,INDONESIA,KRAKATAU,-6.102,105.423,85,410,,,,437,10,31943,250,,2844
2019,3,20,,,JAPAN,"NAGASAKI, JAPAN",,,2.9,2,,,,,,,,,
2019,4,14,,,USA,LAKE ERIE,,,1.75,2,,,,,,,,,
2019,5,14,7.6,,PAPUA NEW GUINEA,"RABAUL, NEW BRITAIN",-4.051,152.597,,0,,,,,,,,,
2019,6,14,6.4,,CHILE,CENTRAL CHILE,-30.056,-72.082,0.07,1,,,,,,,,,
2019,6,15,7.2,,NEW ZEALAND,"S OF RAOUL ISLAND, KERMADEC ISLANDS",-30.805,-178.095,0.14,7,,,,,,,,,
2019,6,18,6.4,,JAPAN,NIIGATA,38.646,139.472,0.11,8,,,,,,28,,,144
2019,7,3,,7364,ITALY,STROMBOLI ISLAND,38.789,15.213,1.3,4,,,,1,,1,,,
2019,8,2,6.9,,INDONESIA,W. JAVA,-7.282,104.791,,6,,,,8,,8,,13,458
2019,8,28,,7424,ITALY,STROMBOLI ISLAND,38.789,15.213,0.3,2,,,,,,,,,
2019,11,14,7.1,,INDONESIA,N. MOLUCCAS ISLANDS,1.6,126.416,0.11,8,,,,1,,3,,,36
2020,1,7,6.4,,USA TERRITORY,PUERTO RICO,17.916,-66.813,0.06,6,,,,4,,,800,300,1390
2020,1,28,7.7,,CUBA,OFF SE COAST,19.44,-78.755,0.11,2,,,,,,,,1,
2020,3,25,7.5,,RUSSIA,N. KURIL ISLANDS,48.986,157.693,0.25,16,,,,,,,,,
2020,4,23,,,USA,GULF OF MEXICO,,,0.5,1,,,,,,,,,
2020,5,2,6.6,,GREECE,CRETE,34.205,25.712,0.95,15,,,,,,,,,
2020,5,29,,7504,INDONESIA,LESSER SUNDA: BALI: IJEN VOLCANO,-8.058,114.242,3,1,,,,1,,,,,
2020,6,13,,,USA,GULF OF MEXICO,,,0.5,1,,,,,,,,,
2020,6,18,7.4,,NEW ZEALAND,"S OF RAOUL ISLAND, KERMADEC ISLANDS",-33.294,-177.838,0.11,4,,,,,,,,,
2020,6,23,7.4,,MEXICO,OFF COAST OF OAXACA,16.029,-95.901,1.57,9,,,,10,,24,,,8123
2020,7,22,7.8,,USA,"SHUMAGIN ISLANDS, AK",55.03,-158.522,0.24,13,,,,,,,,,
2020,10,19,7.6,,USA,"SHUMAGIN ISLANDS, AK",54.608,-159.655,0.76,33,,,,,,,,,
2020,10,30,7,,TURKEY,AEGEAN SEA,37.918,26.79,5.3,268,,,,118,,1054,400,,
2020,11,14,,,SPAIN,"VALLE GRAN REY, LA GOMERA ISLAND",28.08,-17.325,0.5,1,,,,,,,,,
2020,11,28,,,CANADA,"ELLIOT CREEK, BC",50.97,-124.6,,0,,,,,,,,,
2020,12,27,6.7,,CHILE,CENTRAL CHILE,-39.343,-74.99,0.16,1,,,,,,,,,
2021,1,23,6.9,,ANTARCTICA,SCOTIA SEA,-61.825,-55.494,0.04,2,,,,,,,,,
2021,2,10,7.7,,NEW CALEDONIA,LOYALTY ISLANDS,-23.054,171.601,0.78,39,,,,,,,,,
2021,2,13,7.1,,JAPAN,OFF FUKUSHIMA PREFECTURE,37.745,141.749,0.1,4,,,,1,,186,7700,798,19758
2021,3,4,7.3,,NEW ZEALAND,GISBORNE,-37.563,179.444,0.28,9,,,,,,,,,
2021,3,4,7.4,,NEW ZEALAND,"S OF RAOUL ISLAND, KERMADEC ISLANDS",-29.613,-177.843,0.31,11,,,,,,,,,
2021,3,4,8.1,,NEW ZEALAND,"S OF RAOUL ISLAND, KERMADEC ISLANDS",-29.74,-177.267,1,174,,,,,,,,,
2021,3,18,6,,ALGERIA,N. ALGERIA,36.915,5.199,0.05,5,,,,,,17,,,
2021,4,19,,7528,SAINT VINCENT AND THE GRENADINES,SOUFRIERE VOLCANO,13.33,-61.18,0.1,4,,,,,,,,,
2021,5,19,,7566,ITALY,STROMBOLI ISLAND,38.789,15.213,0.36,2,,,,,,,,,
2021,6,16,5.8,,INDONESIA,BANDA SEA,-3.593,129.503,0.51,3,,,,,,,,,
2021,7,29,8.2,,USA,"KODIAK ISLAND, AK",55.325,-157.841,0.42,63,,,,,,,,,
2021,8,11,7.1,,PHILIPPINES,"MINDANAO ISLAND, PHILIPPINES",6.455,126.742,0.05,2,,,,1,,,,,
2021,8,12,8.1,,UK TERRITORY,SOUTHERN ATLANTIC OCEAN,-58.416,-25.321,0.64,52,,,,,,,,,
2021,8,14,7.2,,HAITI,PORT-AU-PRINCE,18.408,-73.475,,3,,,,2248,329,12763,1600,53815,83770
2021,9,8,7,,MEXICO,S. MEXICO,16.982,-99.773,0.48,1,,,,3,,,200,,7317
2021,10,12,6.4,,GREECE,CRETE,35.193,26.256,,0,,,,,,,,,
2021,12,14,7.3,,INDONESIA,FLORES SEA,-7.603,122.2,0.07,2,,,,,,1,,41,200
2022,1,13,,,TONGA,TONGA ISLANDS,-20.536,-175.382,0.15,1,,,,,,,,,
2022,1,15,,7551,TONGA,TONGA ISLANDS,-20.536,-175.382,22,769,,,,6,,20,135.368,284,182
2022,1,16,,,TONGA,TONGA ISLANDS,-20.536,-175.382,0.36,1,,,,,,,,,
2022,1,29,6.5,,NEW ZEALAND,KERMADEC ISLANDS,-29.531,-176.749,0.1,1,,,,,,,,,
2022,3,16,7.3,,JAPAN,OFF FUKUSHIMA PREFECTURE,37.702,141.587,0.31,11,,,,4,,247,8800,217,56718
2022,3,30,6.9,,NEW CALEDONIA,LOYALTY ISLANDS,-22.716,170.286,0.07,3,,,,,,,,,
2022,3,31,7,,NEW CALEDONIA,LOYALTY ISLANDS,-22.579,170.354,0.05,1,,,,,,,,,
2022,4,12,,,PHILIPPINES,"ABUYOG, LEYTE",10.715,125.04,,0,,,,170,128,,,,
2022,5,8,,,USA,"RESURRECTION BAY, AK",60.092,-149.444,0.06,1,,,,,,,,,
2022,5,25,5.5,,MEXICO,S. MEXICO,16.325,-95.856,0.24,4,,,,,,,,,
2022,6,29,,,CHILE,TODOS LOS SANTOS LAKE,-41.142,-72.396,0.8,1,,,,,,,,,
2022,7,27,7,,PHILIPPINES,N. LUZON ISLAND,17.56,120.801,0.08,1,,,,11,,609,48.48,856,35924
2022,9,19,7.6,,MEXICO,MEXICO,18.367,-103.252,0.79,14,,,,2,,10,25,800,6084
2022,9,22,6.8,,MEXICO,S. MEXICO,18.308,-102.923,0.09,3,,,,2,,3,,,
2022,10,9,,7557,ITALY,STROMBOLI ISLAND,38.789,15.213,0.04,2,,,,,,,,,
2022,11,11,7.3,,TONGA,TONGA ISLANDS,-19.318,-172.1,0.12,4,,,,,,,,,
2022,11,22,7,,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.812,159.596,0.03,1,,,,,,3,,,
2022,11,30,5.4,,NEW ZEALAND,"LAKE TAUPO, NORTH ISLAND",-38.808,175.906,1,4,,,,,,,,,
2022,12,4,,7558,ITALY,STROMBOLI ISLAND,38.789,15.213,0.75,3,,,,,,,,,
2023,1,9,7.6,,INDONESIA,SOUTH MALUKU,-7.049,130.038,0.09,2,,,,1,,11,,37,327
2023,1,31,,7562,VANUATU,EAST EPI VOLCANO,-16.68,168.37,0.05,2,,,,,,,,,
2023,2,6,7.8,,TURKEY,GULF OF ISKENDERUN,37.166,37.042,0.25,6,,,,56697,,119200,42900,542461,1474182
2023,3,16,7,,KERMADEC ISLANDS,"SE RAOUL ISLAND, KERMADEC ISLANDS",-30.115,-176.112,0.11,2,,,,,,,,,
2023,4,24,7.1,,NEW ZEALAND,"S OF RAOUL ISLAND, KERMADEC ISLANDS",-29.968,-177.826,0.11,3,,,,,,,,,
2023,4,24,7.1,,INDONESIA,SW. SUMATRA,-0.799,98.524,0.11,1,,,,,,,,,
2023,5,5,6.2,,JAPAN,"NOTO PENINSULA, JAPAN",37.54,137.305,0.1,2,,,,1,,34,,3,351
2023,5,19,7.7,,NEW CALEDONIA,LOYALTY ISLANDS,-23.229,170.694,0.61,24,,,,,,,,,
2023,5,20,7.1,,NEW CALEDONIA,LOYALTY ISLANDS,-23.062,170.456,0.14,4,,,,,,,,,
2023,6,21,,,USA,GULF OF MEXICO,,,0.6,1,,,,,,,,,
2023,7,16,7.2,,USA,"SAND POINT, AK",54.46,-160.76,0.15,3,,,,1,,,,,
2023,9,16,,,GREENLAND,"DICKSON FJORD, GREENLAND",72.83,-26.95,,1,,,,,,,,,
2023,10,5,6.1,,JAPAN,"IZU ISLANDS, JAPAN",29.94,139.95,0.3,1,,,,,,,,,
2023,10,8,,,JAPAN,"IZU ISLANDS, JAPAN",29.7,139.9,0.6,16,,,,,,,,,
2023,11,22,6.7,,VANUATU,VANUATU ISLANDS,-14.985,167.983,0.06,1,,,,,,,,,
2023,12,2,7.6,,PHILIPPINES,E. MINDANAO ISLAND,8.527,126.449,0.32,29,,,,3,,79,22.6,390,8315
2023,12,7,7.1,,VANUATU,VANUATU ISLANDS,-20.659,169.206,0.08,3,,,,,,,,,
2024,1,1,7.5,,JAPAN,HONSHU: W COAST,37.498,137.242,6.2,100,,,,299,3,1327,17600,29756,98598
2024,4,2,7.4,,TAIWAN,E. TAIWAN-RYUKYU ISLANDS,23.819,121.562,1,12,,,,18,2,1145,2.53,111,297
2024,6,28,7.2,,PERU,S. PERU,-15.811,-74.445,0.2,1,,,,,,14,,,
