Year,Mo,Dy,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed,
2000,6,27,2340,5568,Miyakejima,Izu Is-Japan,Japan,34.094,139.526,775,Stratovolcano,1,,,,,
2000,7,27,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,2,,,,,
2000,8,23,,,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1670,Stratovolcano,2,,1,,,
2000,11,3,,,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,2,,,,,
2000,11,,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,1,,,,,
2001,5,14,,,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,1,,,,,
2001,7,26,,,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,,,,,,
2001,8,5,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,,,,,
2001,10,20,,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,1,,,,,
2002,1,3,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,,,,,,
2002,1,17,,,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,100,,,,,
2002,8,28,,5659,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,,,32,,,
2002,11,3,,,Reventador,Ecuador,Ecuador,-0.077,-77.656,3562,Stratovolcano,,,,,,
2002,12,30,2923,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,,,,,,
2002,,,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,,,,,
2003,7,12,2694,,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,,,,,,
2004,1,29,,,Egon,Lesser Sunda Is,Indonesia,-8.676,122.455,1661,Stratovolcano,1,,,,,
2004,6,8,,,Tengger Caldera,Java,Indonesia,-7.942,112.95,2329,Stratovolcano,,,,,,
2004,10,24,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,5,,,,,
2005,1,27,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,1,,14,,,
2005,10,1,,,Santa Ana,El Salvador,El Salvador,13.853,-89.63,2381,Stratovolcano,2,,,,,
2005,11,24,,,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,,,,,,
2006,1,1,5795,10555,Sumisujima,Izu Is-Japan,Japan,31.44,140.051,136,Submarine volcano,,,,,,
2006,3,17,,,Raoul Island,Kermadec Is,New Zealand,-29.27,-177.92,516,Stratovolcano,1,,,,,
2006,5,20,2877,,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,,,,,,
2006,6,7,,,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,1,,,,,
2006,6,14,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,,,,,
2006,7,18,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,1,,,,,
2006,8,17,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,6,,,,,
2006,11,30,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,1266,,,,,
2007,3,,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,,1,,,
2007,4,18,,,"Huila, Nevado del",Colombia,Colombia,2.93,-76.03,5364,Stratovolcano,,,,,,
2007,5,19,5758,,Ritter Island,New Guinea-NE of,Papua New Guinea,-5.519,148.115,75,Stratovolcano,,,,,,
2007,7,7,,,Salak,Java,Indonesia,-6.716,106.733,2218,Stratovolcano,6,,,,,
2007,9,30,,,"Tair, Jebel at",Red Sea,Yemen,15.55,41.83,244,Stratovolcano,7,,,,,
2008,5,2,,,Chaiten,Chile-S,Chile,-42.833,-72.646,1122,Caldera,1,,,,,
2008,8,8,3587,,Kasatochi,Aleutian Is,United States,52.177,-175.508,314,Stratovolcano,,,,,,
2008,8,22,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,2,,2,,2,
2008,11,20,,,"Huila, Nevado del",Colombia,Colombia,2.93,-76.03,5364,Stratovolcano,10,,,,,
2009,3,23,,,Redoubt,Alaska-SW,United States,60.485,-152.742,3108,Stratovolcano,,,,,,
2009,11,30,,,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,,,,,
2010,1,,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,,,,,,
2010,3,31,,,Eyjafjallajokull,Iceland-S,Iceland,63.633,-19.633,1651,Stratovolcano,2,,,,,
2010,5,27,,,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,Complex volcano,1,3,,,3,
2010,5,29,4822,9172,Zealandia Bank,Mariana Is-C Pacific,United States,16.88,145.85,0,Stratovolcano,,,,,,
2010,8,6,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,4,,5,,,
2010,8,30,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,2,,,,,
2010,10,26,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,367,,277,600,,
2010,11,,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,,,,,,
2010,12,28,,,Tengger Caldera,Java,Indonesia,-7.942,112.95,2329,Stratovolcano,,,,,,
2011,1,3,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,1,,1,,,
2011,1,28,,,Kirishimayama,Kyushu-Japan,Japan,31.934,130.862,1700,Shield volcano,,,,,,
2011,2,23,,,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,1,,,,,
2011,3,18,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,,,,,,
2011,4,,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,,,,,,
2011,6,4,,,Puyehue-Cordon Caulle,Chile-C,Chile,-40.59,-72.117,2236,Stratovolcano,,,,,,
2011,6,22,,,Nabro,Africa-NE,Eritrea,13.37,41.7,2218,Stratovolcano,31,,,,,
2011,7,9,,,Katla,Iceland-S,Iceland,63.633,-19.083,1490,Subglacial volcano,,,,,,
2011,7,17,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,1,,,,,
2011,12,27,,,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715,Stratovolcano,4,,,,,
2012,2,10,,,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,,,,,
2012,3,2,,,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,,,,,
2012,12,12,,,Tolbachik,Kamchatka,Russia,55.832,160.326,3611,Shield volcano,,,,,,
2013,2,12,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,1,,1,,,
2013,2,,,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,,,,,,
2013,5,7,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,5,,8,,,
2013,8,10,,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,5,,,,,
2013,9,1,,,Ubinas,Peru,Peru,-16.355,-70.903,5672,Stratovolcano,,,,,,
2013,9,4,,,Aira,Kyushu-Japan,Japan,31.593,130.657,1117,Stratovolcano,,,,,,
2013,9,15,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,,,,
2013,12,13,,,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,1,,,,,
2014,2,1,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,17,,3,,,
2014,2,13,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,7,,,,4098,
2014,9,27,,,Ontakesan,Honshu-Japan,Japan,35.893,137.48,3067,Complex volcano,55,,70,,,
2014,11,10,,,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,,,14.5,1,
2014,11,23,,,Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,2829,Stratovolcano,,,,,230,
2014,12,18,,,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715,Stratovolcano,1,,4,,,
2015,2,20,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,,,,
2015,4,22,,,Calbuco,Chile-S,Chile,-41.33,-72.618,1974,Stratovolcano,,,,,,
2015,5,2,5584,10140,Sumisujima,Izu Is-Japan,Japan,31.44,140.051,136,Submarine volcano,,,,,,
2015,5,7,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,,,,,,
2015,7,31,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,,,2,,,
2015,10,16,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,1,,,,,
2015,10,,,,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,1,,,,,
2016,5,9,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,1,,4,,,
2016,5,21,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,7,,3,100,,
2016,6,9,,,Yellowstone,US-Wyoming,United States,44.43,-110.67,2805,Caldera,1,,,,,
2016,9,27,,,Rinjani,Lesser Sunda Is,Indonesia,-8.42,116.47,3726,Stratovolcano,,44,,,,
2016,10,8,,,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,,,,,,
2017,3,15,,,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,,,10,,,
2017,4,13,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,,,,
2017,6,6,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,,,,,,
2017,7,1,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,8,,11,,,
2017,9,12,,,Campi Flegrei,Italy,Italy,40.827,14.139,458,Caldera,3,,,,,
2017,9,23,,,Ambae,Vanuatu-SW Pacific,Vanuatu,-15.389,167.835,1496,Shield volcano,,,,,,
2017,12,18,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,8,,8,,,
2017,12,27,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,,,,
2018,1,5,,,Kadovar,New Guinea-NE of,Papua New Guinea,-3.608,144.588,365,Stratovolcano,,,,,,
2018,1,13,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,,,1972,3.564,,
2018,1,23,,,Kusatsu-Shiranesan,Honshu-Japan,Japan,36.618,138.528,2165,Stratovolcano,1,,11,,,
2018,2,1,,,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,1,,3,,,
2018,2,9,5676,,Kadovar,New Guinea-NE of,Papua New Guinea,-3.608,144.588,365,Stratovolcano,,,,,,
2018,3,21,,,Ijen,Java,Indonesia,-8.058,114.242,2769,Stratovolcano,,,30,,,
2018,3,30,,,Ambae,Vanuatu-SW Pacific,Vanuatu,-15.389,167.835,1496,Shield volcano,4,,,,,
2018,4,28,5678,10332,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,,1,370,716,
2018,5,6,5796,10556,Sumisujima,Izu Is-Japan,Japan,31.44,140.051,136,Submarine volcano,,,,,,
2018,6,3,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,201,229,27,120,186,
2018,7,16,,,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,,23,1,,
2018,8,25,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,,,,,164,
2018,12,15,,10382,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,,,,,,
2018,12,22,5699,,Krakatau,Indonesia,Indonesia,-6.102,105.423,155,Caldera,437,10,31943,250,2844,
2018,12,26,,10383,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,,,28,115,15,
2019,1,7,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,,,,,,
2019,5,7,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,,,,
2019,6,26,,,Ulawun,New Britain-SW Pac,Papua New Guinea,-5.05,151.33,2334,Stratovolcano,,,2,14,,
2019,6,28,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,,,,,,
2019,7,3,5913,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,1,,1,,,
2019,8,28,5716,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,,,,,,
2019,12,9,,,Whakaari/White Island,New Zealand,New Zealand,-37.52,177.18,294,Stratovolcano,22,,25,,,
2020,1,12,,,Taal,Luzon-Philippines,Philippines,14.002,120.993,311,Stratovolcano,39,,,67,4573,
2020,5,29,5748,10501,Ijen,Java,Indonesia,-8.058,114.242,2769,Stratovolcano,1,,,,,
2021,3,5,,,Sangay,Ecuador,Ecuador,-2.005,-78.341,5286,Stratovolcano,,,,,,
2021,3,,,,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,Complex volcano,,,,,,
2021,4,9,5905,,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,13.33,-61.18,1220,Stratovolcano,,,,325,,
2021,5,19,5912,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,,,,,,
2021,5,22,,10545,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,32,,,,5000,
2021,9,19,,,La Palma,Canary Is,Spain,28.57,-17.83,2426,Stratovolcano,1,,,900,1345,
2021,12,4,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,45,9,169,20,2970,
2022,1,15,5824,,Hunga Tonga-Hunga Ha'apai,Tonga-SW Pacific,Tonga,-20.536,-175.382,114,Submarine volcano,6,,20,135.368,284,
2022,6,22,,,Popocatepetl,Mexico,Mexico,19.023,-98.622,5393,Stratovolcano,1,,,,,
2022,10,9,5865,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,,,,,,
2022,12,4,5868,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,,,,,,
2022,12,4,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,,,,,,
2023,1,31,5906,,Epi,Vanuatu-SW Pacific,Vanuatu,-16.68,168.37,833,Stratovolcano,,,,,,
2023,7,7,,,Bagana,Bougainville-SW Paci,Papua New Guinea,-6.137,155.196,1855,Lava cone,,,,,,
2023,12,3,,,Marapi,Sumatra,Indonesia,-0.38,100.474,2885,Complex volcano,23,0,12,,,
2023,12,18,,,Reykjanes,Iceland-SW,Iceland,63.817,-22.717,140,Crater rows,1,,,,3,
2024,4,16,,,Ruang,Sangihe Is-Indonesia,Indonesia,2.3,125.37,725,Stratovolcano,,,,15.5,3200,
2024,4,20,,,Ijen,Java,Indonesia,-8.058,114.242,2769,Stratovolcano,1,,,,,
2024,5,11,,,Marapi,Sumatra,Indonesia,-0.38,100.474,2885,Complex volcano,67,20,33,,521,
2024,6,3,,,Kanlaon,Philippines-C,Philippines,10.412,123.132,2435,Stratovolcano,,,,2.5,,
